time_h,r0cm,r0.5cm,r1cm,r1.5cm,r2cm,surface,radius_cm
6,1.7196029341885284,1.5377541617058748,1.0226151089939215,,,0.42068259428110122,1.3740000000000001
12,0.73768634657620924,0.65463962686390054,0.40832406036281527,,,0.16694747164292464,1.248
18,0.40875557147630009,0.3686547602461655,0.2397422729644034,,,0.089175496422121928,1.214
24,0.2851206913102261,0.26106226384706382,0.17899003356989709,,,0.067324564305620324,1.204
30,0.2263268207437043,0.20938682783698054,0.14926550365294014,,,0.059479393843255964,1.2010000000000001
36,0.19281924557334959,0.1796577198352545,0.1316595199693654,,,0.055952878087311815,1.2
42,0.17123882477711208,0.16037472382494761,0.11997718659274126,,,0.054094510348150902,1.2
48,0.15614941284364345,0.14680975186574666,0.11156280551319023,,,0.053002267836175267,1.2
51.092100000000002,0.14999982116130192,0.14126050546759011,0.10806976278714954,,,0.052607489635568432,1.2
