time_s,radius_m,implied_dry_mass_ratio_if_empirical_rho_real,length_cm_for_global_mass_only
0.0,0.02,1.0,25.0
60.0,0.01995766666666667,0.9979468015435822,25.051435568840994
120.0,0.019915333333333333,0.9957817211936654,25.10590370149791
180.0,0.019873000000000002,0.9935453668506911,25.162414152505402
240.0,0.019830666666666667,0.9912527528174361,25.22061091779321
300.0,0.019788333333333335,0.9889125418786883,25.280294203273233
360.0,0.019746,0.9865308312150941,25.341326605279942
420.0,0.019703666666666668,0.9841124353834655,25.403601358069004
480.0,0.019661333333333333,0.9816610163007253,25.467039624543283
540.0,0.019619,0.9791794216988159,25.531582308609533
600.0,0.019576666666666666,0.976669850018721,25.59718619298097
660.0,0.019534333333333334,0.9741345642257991,25.663805513223874
720.0,0.019492,0.9715755168007031,25.73140179810458
780.0,0.019449666666666667,0.9689945660317826,25.799938282811805
840.0,0.019407333333333332,0.9663930125184083,25.869392344684186
900.0,0.019365,0.9637724162260335,25.939733882295247
960.0,0.01932266666666667,0.9611339478085751,26.01094265476839
1020.0,0.019280333333333333,0.9584786201228986,26.083002244530437
1080.0,0.019238,0.9558071726852184,26.155903318621984
1140.0,0.019195666666666666,0.9531202880044161,26.2296378690495
1200.0,0.019153333333333335,0.950419250911147,26.304180998052203
1260.0,0.019111,0.9477050029105236,26.37951675175481
1320.0,0.019068666666666668,0.9449784119071831,26.45563082181345
1380.0,0.019026333333333333,0.9422393607477523,26.532536255076668
1440.0,0.018984,0.9394892275816948,26.610203998135873
1500.0,0.018941666666666666,0.9367290449846712,26.68861410228729
1560.0,0.018899333333333334,0.9339592124567453,26.767764230558228
1620.0,0.018857,0.9311798939339446,26.847658720790026
1680.0,0.018814666666666667,0.9283918072781925,26.92828588534577
1740.0,0.018772333333333335,0.9255948081393531,27.009658848730403
1800.0,0.01873,0.9227890868376091,27.091781162773394
1860.0,0.018703666666666667,0.9215512170539132,27.128172083502804
1920.0,0.018677333333333334,0.9203041588832467,27.164932113679164
1980.0,0.018651,0.9190485595418509,27.202044702036844
2040.0,0.018624666666666668,0.917784369853853,27.239513791219796
2100.0,0.018598333333333335,0.916511857652251,27.27733393874503
2160.0,0.018572,0.9152313265467296,27.315498579280284
2220.0,0.01854566666666667,0.9139425345682145,27.354017407463225
2280.0,0.018519333333333332,0.9126456661808584,27.3928874331013
2340.0,0.018493,0.9113415865227543,27.432085147554936
2400.0,0.018466666666666666,0.9100301147683028,27.47161835008625
2460.0,0.018440333333333333,0.908711471709134,27.511482773491554
2520.0,0.018414,0.9073856910251784,27.551679784320395
2580.0,0.018387666666666667,0.9060534586907704,27.59219090242701
2640.0,0.018361333333333334,0.904715004697619,27.633011357378447
2700.0,0.018335,0.9033701428445668,27.674149071696164
2760.0,0.018308666666666668,0.902019396807335,27.71559025059394
2820.0,0.018282333333333334,0.9006631390316215,27.757325593317383
2880.0,0.018256,0.8993013828303176,27.799356786619178
2940.0,0.01822966666666667,0.8979338164964042,27.841695613543152
3000.0,0.018203333333333335,0.8965614236126785,27.884313714126733
3060.0,0.018177000000000002,0.8951838327224795,27.927224650571162
3120.0,0.01815066666666667,0.8938009794314685,27.970432540700582
3180.0,0.018124333333333333,0.8924123547030288,28.01395550862733
3240.0,0.018098,0.8910184683149703,28.05777982052178
3300.0,0.018071666666666666,0.8896197791252474,28.1018931757365
3360.0,0.018045333333333333,0.8882166710389652,28.14628548995482
3420.0,0.018019,0.8868095229833255,28.190946705102164
3480.0,0.017992666666666667,0.8853983030491801,28.235879732210595
3540.0,0.017966333333333334,0.8839833179147095,28.28107668250376
3600.0,0.01794,0.8825643126990316,28.326547584442604
3660.0,0.017909666666666667,0.8807473345870533,28.38498513506315
3720.0,0.017879333333333334,0.8789265086076713,28.44378882098243
3780.0,0.017849,0.8771018337997638,28.502961727597214
3840.0,0.017818666666666667,0.8752736389884345,28.562496214204323
3900.0,0.017788333333333333,0.8734425097826685,28.622376080848806
3960.0,0.017758,0.8716082221912589,28.682611480131488
4020.0,0.017727666666666666,0.8697710860242629,28.74319507938047
4080.0,0.017697333333333336,0.8679316034086572,28.804113022059173
4140.0,0.017667000000000002,0.8660892476576526,28.86538548724945
4200.0,0.01763666666666667,0.8642436339328243,28.927028234197202
4260.0,0.017606333333333335,0.862395390701846,28.989023213185508
4320.0,0.017576,0.8605440182319126,29.051390132680716
4380.0,0.017545666666666668,0.8586896084676929,29.11412896286446
4440.0,0.017515333333333334,0.8568332503135414,29.177205705838023
4500.0,0.017485,0.8549746189398187,29.240634103267734
4560.0,0.017454666666666667,0.8531131594245304,29.304436022137807
4620.0,0.017424333333333333,0.8512491188632947,29.368606023796477
4680.0,0.017394,0.8493821430609645,29.43315939031417
4740.0,0.017363666666666666,0.8475124569430379,29.498091497291437
4800.0,0.017333333333333333,0.8456406248853189,29.56338575076187
4860.0,0.017303,0.8437670655114363,29.62903035904422
4920.0,0.017272666666666665,0.8418914460835848,29.695039801506603
4980.0,0.017242333333333332,0.840013397932986,29.761430069469476
5040.0,0.017212,0.8381339698465963,29.82816697499536
5100.0,0.017181666666666668,0.836252916974511,29.895261938753872
5160.0,0.017151333333333334,0.8343697202431075,29.962736414638623
5220.0,0.017121,0.8324840430742793,30.030605641013288
5280.0,0.017090666666666667,0.8305967675911926,30.09884094842111
5340.0,0.017060333333333334,0.8287077346710152,30.167451025329978
5400.0,0.01703,0.8268168139822767,30.236443644136983
5460.0,0.017004,0.8253447236649346,30.29037356534826
5520.0,0.016978,0.8238697010119463,30.344604212647813
5580.0,0.016952000000000002,0.8223929539435049,30.39909313439643
5640.0,0.016926,0.8209142302998659,30.453851422295273
5700.0,0.0169,0.8194333306055799,30.50888835767082
5760.0,0.016874,0.8179499359867082,30.56421780856555
5820.0,0.016848000000000002,0.8164647160029349,30.619816766105217
5880.0,0.016822,0.814977530310878,30.675692359841626
5940.0,0.016796,0.8134879737336482,30.73186181875319
6000.0,0.01677,0.8119953459095224,30.788353807616105
6060.0,0.016744000000000002,0.8105001080478555,30.845153198331083
6120.0,0.016718,0.8090033727203298,30.90221974716344
6180.0,0.016692,0.8075048393749853,30.95956678024392
6240.0,0.016666,0.8060036738901046,31.01722834505175
6300.0,0.016640000000000002,0.8045004404394218,31.07518497608887
6360.0,0.016614,0.8029957708632529,31.13341428078007
6420.0,0.016588,0.801489675259415,31.191917714858086
6480.0,0.016562,0.799982083454549,31.250699880730984
6540.0,0.016536000000000002,0.7984724409414626,31.309784431035602
6600.0,0.01651,0.7969602396879165,31.369193536919493
6660.0,0.016484,0.795446390540819,31.428893634180245
6720.0,0.016458,0.7939307268572422,31.48889336852091
6780.0,0.016432000000000002,0.7924131442384938,31.549199028020805
6840.0,0.016406,0.7908935507373585,31.60981648755668
6900.0,0.01638,0.7893719438843654,31.67074811017382
6960.0,0.016354,0.787847779785182,31.732018089606864
7020.0,0.016328000000000002,0.7863218508616716,31.793596950923288
7080.0,0.016302,0.7847943137018105,31.855480555251535
7140.0,0.016276,0.7832649549772904,31.9176797597498
7200.0,0.01625,0.7817340801176911,31.98018435659888
7260.0,0.016238,0.7815488901254963,31.987762142411402
7320.0,0.016226,0.7813620226613724,31.99541220962889
7380.0,0.016214,0.7811732951181141,32.00314214046446
7440.0,0.016202,0.7809823918943845,32.010964983933796
7500.0,0.01619,0.7807894623661554,32.01887474792291
7560.0,0.016178,0.7805939698149624,32.02689357941899
7620.0,0.016166,0.7803966587544902,32.03499107735789
7680.0,0.016154,0.7801971555506751,32.04318270342144
7740.0,0.016142,0.7799950919809703,32.05148372986164
7800.0,0.016130000000000002,0.7797908255138863,32.05987962672537
7860.0,0.016118,0.7795843845759687,32.06836937042806
7920.0,0.016106000000000002,0.7793750079269078,32.07698443718197
7980.0,0.016094,0.779163568408099,32.08568908204633
8040.0,0.016082000000000003,0.7789500472359111,32.094484221051154
8100.0,0.01607,0.7787337463744671,32.10339877575863
8160.0,0.016058,0.7785151765083556,32.112411876317076
8220.0,0.016046,0.7782940232338981,32.12153666055693
8280.0,0.016034,0.77807037396249,32.13076970490747
8340.0,0.016022,0.777844333940973,32.14010684289067
8400.0,0.01601,0.7776162810663078,32.149532627736015
8460.0,0.015998000000000002,0.7773856188642017,32.15907188574728
8520.0,0.015986,0.7771526558182804,32.1687120449675
8580.0,0.015974000000000002,0.7769171983680518,32.17846129872473
8640.0,0.015962,0.7766792356910891,32.188320288690356
8700.0,0.015950000000000002,0.7764390119810726,32.198279084680294
8760.0,0.015938,0.7761967214684395,32.20832980678405
8820.0,0.015926000000000003,0.7759524575173424,32.218468744834475
8880.0,0.015914,0.7757056653567205,32.228719108946244
8940.0,0.015902000000000003,0.7754563708063662,32.239080032321475
9000.0,0.01589,0.7752049124540652,32.249537636258694
9060.0,0.01587766666666667,0.7749174660651013,32.261500217495076
9120.0,0.015865333333333335,0.7746272788823023,32.27358586709225
9180.0,0.015853000000000003,0.774335667234967,32.285739967617836
9240.0,0.01584066666666667,0.7740418285037003,32.297996153938456
9300.0,0.015828333333333333,0.7737453350491611,32.31037250571803
9360.0,0.015816,0.7734464431682007,32.322858577763576
9420.0,0.015803666666666667,0.7731455409446146,32.33543838260449
9480.0,0.015791333333333334,0.7728419354777774,32.348141129977364
9540.0,0.015779,0.7725359410493697,32.36095393314827
9600.0,0.01576666666666667,0.7722274551215784,32.37388134052296
9660.0,0.015754333333333335,0.77191677722674,32.38691104735063
9720.0,0.015742000000000003,0.7716040980032881,32.40003528324115
9780.0,0.015729666666666666,0.7712894555928365,32.413252662431695
9840.0,0.015717333333333333,0.7709723198298581,32.42658569832587
9900.0,0.015705,0.770653156512993,32.44001505569452
9960.0,0.015692666666666667,0.7703315654273303,32.45355782108138
10020.0,0.015680333333333334,0.7700074439061988,32.46721859359773
10080.0,0.015668,0.7696809188134992,32.4809923033284
10140.0,0.01565566666666667,0.7693520559937681,32.494876442108975
10200.0,0.015643333333333335,0.7690210089864096,32.50886478764823
10260.0,0.015631000000000003,0.768688510469677,32.52292659444686
10320.0,0.015618666666666668,0.7683536427962673,32.5371008966881
10380.0,0.015606333333333335,0.76801668449515,32.55137616760704
10440.0,0.015594,0.7676776168755488,32.56575344967085
10500.0,0.015581666666666667,0.7673368038725137,32.58021754441161
10560.0,0.015569333333333334,0.7669936175215316,32.59479535277643
